FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.13929497,13929497,POINT (16.328847612597766 48.297836469762935),Klosterneuburg Berchtesgadnerhofgasse,Klosterneuburg Berchtesgadnerhofgasse,1,,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Berchtesgadnerhofgasse&start=1,
OEFFHALTESTOGD.13929498,13929498,POINT (16.327230612890478 48.3006152699228),Klosterneuburg Ottogasse,Klosterneuburg Ottogasse,1,,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Ottogasse&start=1,
OEFFHALTESTOGD.13929499,13929499,POINT (16.32420331216341 48.30248566939725),Klosterneuburg Göppingerplatz,Klosterneuburg Göppingerplatz,3,,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Göppingerplatz&start=1,
OEFFHALTESTOGD.13929500,13929500,POINT (16.323336450877974 48.30340587411395),Klosterneuburg Hermannschule,Klosterneuburg Hermannschule,"1,3,401,403",,3,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Hermannschule&start=1,
OEFFHALTESTOGD.13929501,13929501,POINT (16.323296012566413 48.30340586960968),Klosterneuburg Hermannschule,Klosterneuburg Hermannschule,"1,3,401,403",,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Hermannschule&start=1,
OEFFHALTESTOGD.13929502,13929502,POINT (16.3243201119038 48.30732566980655),Klosterneuburg Krankenhaus,Klosterneuburg Krankenhaus,"1,2,3",,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Krankenhaus&start=1,
OEFFHALTESTOGD.13929503,13929503,POINT (16.324697412354155 48.307737869937526),Klosterneuburg Krankenhaus,Klosterneuburg Krankenhaus,"1,2,3",,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Krankenhaus&start=1,
OEFFHALTESTOGD.13929504,13929504,POINT (16.321858712459996 48.3041886702245),Klosterneuburg Kardinal-Piffl-Platz,Klosterneuburg Kardinal-Piffl-Platz,3,,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Kardinal-Piffl-Platz&start=1,
OEFFHALTESTOGD.13929505,13929505,POINT (16.31943331204699 48.30259316998411),Klosterneuburg Wisentgasse,Klosterneuburg Wisentgasse,3,,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Wisentgasse&start=1,
OEFFHALTESTOGD.13929506,13929506,POINT (16.30940811217741 48.31945947003561),Klosterneuburg Martinsfriedhof,Klosterneuburg Martinsfriedhof,1,,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Martinsfriedhof&start=1,
OEFFHALTESTOGD.13929507,13929507,POINT (16.322801911873842 48.30246766971837),Klosterneuburg Raphael-Donner-Gasse,Klosterneuburg Raphael-Donner-Gasse,3,,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Raphael-Donner-Gasse&start=1,
